               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.032751,            0.038006,          0.00027126,             0.56898,             0.65848,             0.55243,             0.34033,             0.03363,            0.037018,          0.00048273,            0.007228,            0.007228,            0.007228
                  58,            0.032766,            0.037869,          0.00031049,             0.57658,             0.64777,             0.52729,             0.33438,              0.0325,            0.037168,           0.0004247,           0.0071785,           0.0071785,           0.0071785
                  59,             0.03282,            0.037897,          0.00028383,              0.5402,              0.7558,             0.54513,             0.34041,            0.032434,            0.037052,          0.00062064,            0.007129,            0.007129,            0.007129
                  60,            0.032877,            0.037785,          0.00027739,             0.52963,             0.58817,             0.50223,             0.30847,            0.033577,            0.037326,          0.00087683,           0.0070795,           0.0070795,           0.0070795
                  61,            0.032835,            0.036936,          0.00026436,             0.65186,             0.71483,             0.66003,             0.38478,            0.033888,            0.037123,          0.00036111,             0.00703,             0.00703,             0.00703
                  62,            0.032787,            0.038787,          0.00041485,             0.58338,             0.77798,             0.60616,              0.3903,            0.032153,            0.036535,          0.00025619,           0.0069805,           0.0069805,           0.0069805
                  63,            0.032486,             0.03737,          0.00030189,             0.52053,             0.71674,             0.54828,             0.33956,            0.031969,            0.037818,          0.00027214,            0.006931,            0.006931,            0.006931
                  64,            0.031985,            0.037175,          0.00025848,             0.49126,               0.725,             0.50974,             0.31147,            0.033326,            0.037633,          0.00037429,           0.0068815,           0.0068815,           0.0068815
                  65,             0.03174,            0.037498,          0.00024667,             0.49823,             0.78415,             0.53123,              0.3225,            0.033507,            0.036801,          0.00028734,            0.006832,            0.006832,            0.006832
                  66,            0.032033,            0.038039,          0.00028905,             0.67787,             0.77522,              0.6735,             0.39813,            0.034935,            0.037686,          0.00022841,           0.0067825,           0.0067825,           0.0067825
                  67,            0.031804,            0.037077,          0.00028785,             0.61659,              0.6471,             0.54934,              0.3325,            0.034789,            0.037903,          0.00039411,            0.006733,            0.006733,            0.006733
                  68,            0.031315,            0.037969,          0.00022058,             0.68155,             0.77317,             0.68649,             0.39946,            0.031929,            0.036759,          0.00037403,           0.0066835,           0.0066835,           0.0066835
                  69,            0.031607,             0.03734,           0.0003081,             0.67546,             0.79907,             0.68483,             0.37266,            0.032127,            0.035786,          0.00024449,            0.006634,            0.006634,            0.006634
                  70,             0.03182,             0.03643,          0.00022294,             0.53533,             0.51875,             0.50589,             0.32291,            0.032576,            0.036569,          0.00040422,           0.0065845,           0.0065845,           0.0065845
                  71,            0.031028,            0.037604,          0.00026253,             0.62092,              0.7779,              0.6022,             0.36049,            0.032182,             0.03632,          0.00050074,            0.006535,            0.006535,            0.006535
                  72,            0.031764,            0.037252,          0.00023512,             0.54329,             0.77768,             0.59258,              0.3896,            0.031861,            0.037179,          0.00043295,           0.0064855,           0.0064855,           0.0064855
                  73,            0.030994,            0.036402,          0.00020543,             0.60761,             0.77924,             0.57146,             0.35314,            0.031731,            0.036704,          0.00040327,            0.006436,            0.006436,            0.006436
                  74,            0.031838,            0.037356,          0.00023095,             0.70494,             0.77232,             0.71182,              0.4157,            0.032985,             0.03723,          0.00050569,           0.0063865,           0.0063865,           0.0063865
                  75,             0.03072,            0.036963,          0.00020899,             0.74563,             0.64771,             0.67947,             0.39086,            0.032055,            0.037071,          0.00053722,            0.006337,            0.006337,            0.006337
                  76,            0.030807,            0.036535,          0.00024606,             0.57763,             0.65737,             0.61332,             0.38265,            0.031192,             0.03594,          0.00027363,           0.0062875,           0.0062875,           0.0062875
                  77,             0.03053,            0.035733,          0.00021555,             0.58658,             0.72455,             0.60342,             0.40414,            0.031331,             0.03636,          0.00022334,            0.006238,            0.006238,            0.006238
                  78,            0.030715,            0.036436,          0.00023221,             0.58626,             0.65469,             0.60592,             0.35981,             0.03212,            0.036369,          0.00049358,           0.0061885,           0.0061885,           0.0061885
                  79,            0.030693,            0.036234,           0.0001897,             0.70093,             0.71529,             0.62012,             0.38237,            0.032829,            0.036496,           0.0003771,            0.006139,            0.006139,            0.006139
                  80,            0.030695,            0.035965,            0.000198,             0.71928,             0.77323,             0.66783,             0.38399,            0.031641,            0.036996,          0.00035886,           0.0060895,           0.0060895,           0.0060895
                  81,            0.030947,            0.035714,          0.00020761,             0.58414,              0.7154,             0.55424,             0.34268,            0.031771,            0.035983,          0.00025619,             0.00604,             0.00604,             0.00604
                  82,             0.03069,             0.03663,          0.00019655,             0.61725,             0.78237,             0.59533,             0.36569,            0.031534,            0.035692,          0.00044718,           0.0059905,           0.0059905,           0.0059905
                  83,            0.030209,            0.035395,          0.00020884,             0.63848,             0.63884,             0.62444,             0.40781,            0.032871,            0.038349,          0.00036136,            0.005941,            0.005941,            0.005941
                  84,            0.030175,            0.035057,          0.00019862,             0.51513,             0.71786,             0.50755,             0.32846,             0.03161,            0.036508,           0.0004385,           0.0058915,           0.0058915,           0.0058915
                  85,            0.030186,            0.035652,          0.00019558,             0.58109,             0.71222,             0.54813,             0.33977,            0.031995,            0.036651,          0.00036385,            0.005842,            0.005842,            0.005842
                  86,            0.030372,            0.034985,          0.00016711,             0.49407,             0.52656,             0.48585,             0.30868,            0.033208,            0.037867,          0.00065856,           0.0057925,           0.0057925,           0.0057925
                  87,            0.030394,            0.035443,          0.00020705,             0.65268,             0.76424,             0.64931,             0.42566,            0.031766,            0.036534,          0.00040928,            0.005743,            0.005743,            0.005743
                  88,            0.029673,            0.034526,          0.00016506,             0.60947,               0.725,             0.57052,             0.36075,            0.031482,            0.036113,           0.0001326,           0.0056935,           0.0056935,           0.0056935
                  89,            0.030048,            0.035059,          0.00019234,             0.54708,             0.65656,             0.53109,             0.33814,             0.03209,            0.036732,          0.00031666,            0.005644,            0.005644,            0.005644
                  90,            0.029327,            0.034303,          0.00019752,             0.65222,              0.7808,             0.61559,             0.38838,            0.031456,            0.035891,          0.00030279,           0.0055945,           0.0055945,           0.0055945
                  91,             0.02965,            0.034894,          0.00018605,             0.89091,             0.68221,             0.73842,             0.44588,            0.031827,            0.036757,          0.00044241,            0.005545,            0.005545,            0.005545
                  92,             0.02988,            0.033847,          0.00017244,              0.6265,             0.63712,             0.53495,              0.3286,            0.033661,            0.038856,          0.00095002,           0.0054955,           0.0054955,           0.0054955
                  93,              0.0296,            0.034642,          0.00017672,             0.88522,             0.70695,             0.77093,             0.49314,            0.031723,             0.03611,          0.00054947,            0.005446,            0.005446,            0.005446
                  94,             0.02938,            0.034685,          0.00017022,             0.63446,             0.64345,             0.60236,             0.37419,            0.031561,            0.035953,          0.00041071,           0.0053965,           0.0053965,           0.0053965
                  95,            0.029278,            0.034673,          0.00016189,             0.65755,             0.64994,             0.64218,             0.43017,            0.031534,            0.035924,          0.00035798,            0.005347,            0.005347,            0.005347
                  96,             0.02938,            0.033353,           0.0001934,                0.62,             0.84286,              0.6333,             0.38221,            0.031678,            0.035715,          0.00030151,           0.0052975,           0.0052975,           0.0052975
                  97,            0.029132,            0.034334,          0.00017351,             0.60822,             0.65094,             0.59144,             0.36729,            0.032115,            0.036819,          0.00042626,            0.005248,            0.005248,            0.005248
                  98,            0.029643,            0.035857,          0.00016397,             0.56008,             0.65354,              0.5268,             0.33231,            0.031891,            0.036791,          0.00041977,           0.0051985,           0.0051985,           0.0051985
                  99,            0.028824,            0.033698,          0.00015243,             0.60968,             0.78259,             0.60153,             0.38535,            0.031463,            0.036372,          0.00016749,            0.005149,            0.005149,            0.005149
